index,title,collection,author,solved,push_count,moves
50,,,,true,50,llDDDDurrdLLLddrUluurrdLdlUruuuulldRurDDDDlddrUluRuuuurrdLulDDDDlddrUUUUUluRRdldddlLrruuurrUdlldddlluRllldRurrdrUllldRRurUUruLLdrddlddrUUrrdLulUUruLdddlddrUUUU
51,,,,true,27,dLLUUddrruLulllddRRUruLLrruruLLDrddldlluRuRlddrUrUdrdLLuluRuRDuulLrddddrruLdlUUdlldR
52,,,,true,29,rrrUULLuullDurrddrrddlUUluulldDRluurrrrDLddrUluulllddrRlluurrrdDrddlllUdrrruuluulllddRddrrruulDuuulllddrRlluurrrdDrddLruullUruLddrrddlUUluuLrrrDLddrUllU
53,,,,true,37,rrURuurrdLulLuullddRRRRdrddlUllUUrDurDulllluurrDullddrRdrruLLdrrrddlUruLullddRluuuulldddRluuurrddLdlUUdrrrrdrddlUlUdrruLuLLLdlUrrrrddlUruLLLrrddlUruL
54,,,,true,35,UULLLDlUUdrrrrddlULuluurrrDDLLrruulDrdLddrUUluulldlddRRlluururrddrddlUUdllluururrrDullldlddrrruUruLdddllluurDRdrUllldRurrdrUlUdlldRurrddlUruUdL
55,,,,true,39,RRRuLdrdrruuLUruulllDurrrdddddlluluRdllluRRdrdrruuuuullldDDuuulldRurrrrddlUruLLLLrrrddrdddlluLrdrruuuuulllldlUrrrrddrdddlluluuUdddrdrruuuuullLLrrrddrddLULrddlUlUlldRRRdrruulLrUdDulLrruUruLLL
56,,,,true,28,ldlDRRURUrDDullUdrrdLLrddlllUUddrrUUdLUddlUruUdrruulLddrUluLrdrruLdlUdLrddlUUU
57,,,,true,31,uuLUUluRdllllDurrrrddLUUllldDrRUdlluurRddlddlUUrruuRdrdLdLUllddrUluRdrruuulllDurrrddrrdLLLLuRUrrdLuuLdrddlUU
58,,,,true,26,LrDDLruulDLLDDrUllUdDlddrrrrruUULuLrdLdlDullddrRRluuluulDrdrruuLLdlUrrrdLurrurD
59,,,,true,37,UULLuLrddLUdDuurrrdLullddLddrrurUUdddllluuruRuuulDrddldlddrrururuuLrddlddllluururUUluRdddlUddlddrUUdrruruullllDurrrrddldlluUlDrdrruUruLdlUUddlllldRuruRdlldRuurUddrrdddlllUrUdrruulUdrddlluLrU
60,,,,true,25,RRRRuUddllUdrruulURlUlLrrdrUllldRurrddddlluUUdddllURdrUdrruulUlUdrdrddlluUUlDrddlluRdrUluR
